,height,width,hue_mean,saturation_mean,value_mean,edge,energy,y
478338.jpg,182.0,268.0,0.3061468290995933,0.7238681767166404,0.3622299780991616,1.0030073352415747,28932.385312448747,4
389448.jpg,182.0,268.0,0.3426704724107645,0.16957256730146655,0.783071391587634,0.5654144640033323,19715.012260127933,4
4537412.jpg,182.0,268.0,0.5331869008000034,0.4139893774138948,0.4395298877300633,0.331862454561558,6836.326923076923,4
470994.jpg,182.0,268.0,0.4914632422998433,0.6247234844405855,0.5002282543327319,0.6641911028751613,14745.7658684599,4
3103318.jpg,182.0,268.0,0.5137762392718495,0.02890485753794985,0.7073248013327031,0.13357034269554538,1083.7971133344267,4
491795.jpg,182.0,268.0,0.27113244135526915,0.25333780509990816,0.4334349583691111,0.5300946424875473,8268.203132688208,4
3581384.jpg,182.0,268.0,0.6691509664524057,0.10445516703674562,0.36614535596098374,0.42553183646195786,10746.555929145481,4
420952.jpg,182.0,268.0,0.32497367994503,0.8001471660780541,0.6387094906849078,0.5541048561148187,13258.197228144989,4
2567000.jpg,182.0,268.0,0.3840729732174245,0.1245989190515236,0.9576915036967716,0.2678357282000401,4990.744997539774,4
1152822.jpg,182.0,268.0,0.17745958587894267,0.17302063871287937,0.893625601790659,0.33149310895635137,6280.023823191734,4
3521134.jpg,182.0,268.0,0.38652935716798614,0.5664375879462088,0.19954960170061137,0.3939980937557507,6928.885558471379,4
410214.jpg,182.0,268.0,0.21357834161924785,0.40610189457183576,0.1647797695427195,0.6678765911197113,19497.311218632116,4
5646136.jpg,182.0,268.0,0.8569634581960198,0.7062140805966425,0.4271001167401519,0.46895211033888246,9481.713711661472,4
2084773.jpg,182.0,268.0,0.251782845075877,0.29945801969301034,0.5997283299083124,0.5115665682365476,8160.184804001969,4
2088714.jpg,182.0,268.0,0.4140519090853113,0.17968725081657963,0.6348511161066035,0.5390710177811842,9836.546170247662,4
140894.jpg,182.0,268.0,0.20387628035792257,0.11704767892855256,0.6378552454276774,0.7653436879167408,21729.699770378877,4
201545.jpg,182.0,268.0,0.2910474430167499,0.6727871285141533,0.6553659466082645,0.44411711092093425,9600.415368213875,4
195691.jpg,182.0,268.0,0.21456708261973456,0.5829356289899922,0.3501128809732848,0.6180698242938955,17521.976504838443,4
1773722.jpg,182.0,268.0,0.221370600180101,0.14748919946704925,0.786911997864588,0.4104799885916243,10717.309660488765,4
463028.jpg,182.0,268.0,0.3571252075776516,0.45680523306268356,0.47645659871296386,0.7928216036590319,21258.17918648516,4
1395183.jpg,182.0,268.0,0.2632275262230251,0.14055951078363735,0.587145960565627,0.43491137287749737,6385.16979662129,4
138902.jpg,182.0,268.0,0.5049947320786164,0.21091339246723237,0.40569269039418293,1.0112109086384387,34551.46920616697,4
5278460.jpg,182.0,268.0,0.5779390428503693,0.5232093587689719,0.45363582861387947,0.4289482610992059,5906.1410939806465,4
188996.jpg,182.0,268.0,0.13520467660552485,0.5013338983196564,0.5164250660080335,0.7267746325389363,16466.810767590618,4
1829041.jpg,182.0,268.0,0.4139780627645734,0.6555080948691945,0.3366364685943264,0.676421164012222,14564.31199770379,4
154684.jpg,182.0,268.0,0.4246204491438548,0.6158137934706523,0.4742614497004313,0.6361135930206263,16024.476545842217,4
